Chipset Name : GRANTLY PLATFORM Ver.05.04.21.0026,,,
Category,Name,GUID,Description
Chipset Layer,\grantleychipsetpkg\restoremtrrdxe\RestoreMtrrDxe,F276BDEC-6C41-21E5-9E71-00A13807B45E,If plug memory > 16GB, Bios will calculate the MTRR setting value and push this value in Hob at PEI phase, Here the Bios will get the MTRR setting value from Hob to replace present MTRR value to the > 16GB setting.
Chipset Layer,\grantleychipsetpkg\savememoryconfigsmm\SaveMemoryConfigSmm,34230E42-5982-476A-8D41-16A915F6580A,Component description file for UsbLegacyControl module.
Chipset Layer,\grantleychipsetpkg\usblegacycontrolsmm\UsbLegacyControlSmm,88EA1FCB-3A5D-4ACF-A0B3-AACB36D4E90F,Component description file for UsbLegacyControl module.
Chipset Layer,\grantleychipsetpkg\uefisetuputilitydxe\SetupUtility,FE3542FE-C1D3-4EF8-657C-8048606FF670,This is a sample driver which show how HII protocol, VFR and UNI files are used to create a driver which can be dipslayed and configured by a UEFI HII Form Browser.
Chipset Layer,\grantleychipsetpkg\platformdxe\DxePlatform,74C83F3A-5EE3-4EB7-B945-702B839FB1A6,Component description file for Platform Policy Initialization driver.
Chipset Layer,\grantleychipsetpkg\pciplatformdxe\PciPlatformDxe,70232FB4-81F4-49F6-AA05-51D99EBDC352,Component description file for PciPlatformDxe driver.
Chipset Layer,\grantleychipsetpkg\platformsmm\SmmPlatform,E4D932F4-31C9-4075-8FA3-4030F7EB767A,Component description file for SmmPlatform driver.
Chipset Layer,\grantleychipsetpkg\int15microcodesmm\Int15MicrocodeSmm,30806658-1E9C-4A13-971E-707A69E958C8,Component description file for Int15MicrocodeSmm driver.
Chipset Layer,\grantleychipsetpkg\bbstablehookdxe\BbstableHook,CC043281-112F-441C-805D-6D8DB3659618,INF file for StopFileSystem Feature.
Chipset Layer,\grantleychipsetpkg\csmint10blockdxe\CsmInt10Block,0583D694-AF8B-4BAA-9583-813CEDF40843,Block CSM INT10 after INT19.
Chipset Layer,\grantleychipsetpkg\bioswriteprotectsmm\PchBiosWriteProtect,2EE81ACB-64B2-41AE-8635-7030D16C4AA8,Component description file for the PchBiosWriteProtect driver.
Chipset Layer,\grantleychipsetpkg\biosregionlockdxe\BiosRegionLockDxe,BC05DC37-9DA0-4050-9728-F34DDB01E200,Component description file for the BiosRegionLockDxe driver.
Chipset Layer,\grantleychipsetpkg\acpipccsupportdxe\AcpiPCCSupportDxe,87F03839-9B30-495E-BC58-AD65CAE7CEDF,Component description file for the AcpiPCCSupportDxe driver.
Chipset Layer,\grantleychipsetpkg\acpimpstsupportsmm\AcpiMPSTSupportSmm,EFB19948-7E02-47B9-8706-FB8BBBEFCDC9,Component description file for the AcpiMPSTSupportSmm driver.
Chipset Layer,\grantleychipsetpkg\chipsetsvcdxe\ChipsetSvcDxe,9B0FF2C0-E245-11E1-8EFF-D0DF9A35C106,Implement the driver of DxeChipsetSvc.
Chipset Layer,\grantleychipsetpkg\chipsetsvcsmm\ChipsetSvcSmm,D359DE86-0A1B-47BC-95D2-1D1F8FFF0AD8,Implement the Driver of SmmChipsetSvc.
Chipset Layer,\grantleychipsetpkg\commonchipset\setssidsviddxe\SetSsidSvidDxe,96BDEA61-C364-4513-B6B3-037E9AD54CE4,Component description file for SetSsidSvidDxe driver.
Chipset Layer,\grantleychipsetpkg\commonchipset\aspmoverridedxe\AspmOverrideDxe,A8913EC1-C00C-4C3A-A245-077C0CA35738,Component description file for AspmOverrideDxe module.
Chipset Layer,\insydemodulepkg\library\commonplatformlib\badgingsupportlib\OemBadgingSupportDxe,12AEDBEA-392D-4E2A-8789-5F6DC6B23661,Component description file for OemBadgingSupportDxe driver.
Chipset Layer,\grantleychipsetpkg\commonchipset\speakerdxe\LegacySpeakerDxe,400B4476-3081-11D6-87ED-00062945C3B9,Component description file for LegacySpeakerDxe driver.
Chipset Layer,\grantleychipsetpkg\platformpolicydxe\goppolicydxe\GopPolicyDxe,A52509C7-5ECD-42D1-85A2-46C37135D12D,Component description file for GopPolicyDxe driver.
Chipset Layer,\grantleychipsetpkg\platformpolicydxe\pchpolicydxe\PchPolicyDxe,3BC42C6D-ABEC-41BA-8CCB-D8E0EF1CEF85,Component description file for PchPolicyDxe driver.
Chipset Layer,\grantleychipsetpkg\platformpolicydxe\cpupolicydxe\CpuPolicyDxe,76A7B4FC-C8D5-462D-A4D2-6E88338A772,Component description file for Platform CPU Policy DXE Driver.
Chipset Layer,\grantleychipsetpkg\pciclpdxe\PciClp,9213D88D-1D18-40EE-A94F-C3ADEC2E0FF1,Component description file for PciClp Driver.
Chipset Layer,\grantleychipsetpkg\platformpolicydxe\acpipolicyinitdxe\AcpiPolicyInitDxe,B29B8EDA-5D39-4BD4-8658-1F55F6D60E5A,Component description file for the AcpiPolicyInit DXE driver.
Chipset Layer,\grantleychipsetpkg\oemraseventservice\oemraseventstringdxe\OemRasEventStringDxe,A32ECDC3-4780-4EBE-444C-AF28EED33676,Component description file for BiosEventStorage DXE driver.
Chipset Layer,\grantleychipsetpkg\oemraseventservice\oemraseventsmm\OemRasEventSmm,C1C62E13-36FE-4ECB-3E4E-E65610778F02,Component description file for OemRasEventSmm DXE driver.
Chipset Layer,\grantleychipsetpkg\xhcismidispatcher\XhciSmiDispatcher,5FC364AD-4D63-4B80-B10C-0C8780ADA917,Component description file for XhciSmiDispatcher module.
Chipset Layer,\grantleychipsetpkg\ihisismm\IhisiSmm,7B7B65B6-E350-4139-8FE4-665772D32A47,Component description file for IhisiSmm module.
Chipset Layer,\grantleychipsetpkg\oemacpiplatformdxe\OemAcpiPlatform,9B182CEE-AED5-4D95-B2A9-A2CF6CDFEAA8,Component description file for OemAcpiPlatform module.
Chipset Layer,\grantleychipsetpkg\preposthotkeydxe\PrePostHotkey,7DC20199-DE28-4A91-A89C-FF06F237352C,Component description file for PrePostHotkey module.
Chipset Layer,\grantleychipsetpkg\platformresetruntimedxe\PlatformResetRuntimeDxe,0790DC86-F827-4590-A0E2-6B9F9F038DDB,Component description file for Platform Reset runtime driver.
Chipset Layer,\grantleychipsetpkg\acpitablesdxe\dptf\dptfdxe\DptfDxe,918ABA30-3D8D-4BB5-B849-45CC4FC7DE7C,Component description file for Dptf module.
Chipset Layer,\grantleychipsetpkg\spsme\sample\spspolicydxe\SpsPolicyDxe,D80EBC8A-578C-4A7A-A305-EBA6BD9D992F,Component description file for SpsPolicyDxe module.
Chipset Layer,\grantleychipsetpkg\spsme\spsdxe\SpsDxe,CA5B0FA3-5009-466E-9497-C77DA34903A7,Component description file for Server Platform Services ME Driver in DXE phase.
Chipset Layer,\grantleychipsetpkg\spsheci\spshecidxe\SpsHeciDxe,55E76644-78A5-4A82-A900-7126A5798892,Component description file for Heci DXE driver.
Chipset Layer,\grantleychipsetpkg\spsheci\spshecismm\SpsHeciSmm,921CD783-3E22-4579-A71F-00D74197FCC,Component description file for Heci SMM driver.
Chipset Layer,\grantleychipsetpkg\spsme\spsmefwupgradedxe\SpsMeFwUpgradeDxe,B5DEBF89-E32D-4B88-B43F-57854935EA8F,Component description file for Server Platform Services(SPS) ME Firmware Upgrade DXE driver.
